Graph Type,Maze Size,Wall Density,Function,Average Time
mt,5x5,0.4,updateWall,7.211833387070025e-06
mt,5x5,0.4,neighbours,4.7346712866177165e-06
mt,5x5,0.4,updateWall,7.4722520366776735e-06
mt,5x5,0.4,neighbours,5.093205425723949e-06
mt,5x5,0.4,updateWall,7.437414751620963e-06
mt,5x5,0.4,neighbours,4.44799742480326e-06
mt,10x10,0.45,updateWall,2.811279828716634e-05
mt,10x10,0.45,neighbours,1.785290469206981e-05
mt,10x10,0.45,updateWall,3.38300617501102e-05
mt,10x10,0.45,neighbours,3.8903299259561064e-05
mt,10x10,0.45,updateWall,2.778993979463297e-05
mt,10x10,0.45,neighbours,1.6402000475644165e-05
mt,50x50,0.49,updateWall,0.0006527030785336439
mt,50x50,0.49,neighbours,0.00038842810867157517
mt,50x50,0.49,updateWall,0.0006561351246458582
mt,50x50,0.49,neighbours,0.0003902185962576606
mt,50x50,0.49,updateWall,0.0006640281523529421
mt,50x50,0.49,neighbours,0.0003980420097618287
mt,70x100,0.4248917748917749,updateWall,0.0018831081129946528
mt,70x100,0.4248917748917749,neighbours,0.001118661905978328
mt,70x100,0.42294372294372296,updateWall,0.0018989855814007606
mt,70x100,0.42294372294372296,neighbours,0.0011204123574479247
mt,70x100,0.4231601731601732,updateWall,0.001877990777906905
mt,70x100,0.4231601731601732,neighbours,0.0011203508839494388
ls,5x5,0.4,updateWall,3.7169532636956624e-06
ls,5x5,0.4,neighbours,7.260518032126129e-07
ls,5x5,0.4,updateWall,2.0642073650378734e-06
ls,5x5,0.4,neighbours,6.11972063779831e-07
ls,5x5,0.4,updateWall,2.088589099003002e-06
ls,5x5,0.4,neighbours,6.221024046555675e-07
ls,5x5,0.4,updateWall,2.02779362249809e-06
ls,5x5,0.4,neighbours,6.054987251344654e-07
ls,5x5,0.4,updateWall,2.065914789758002e-06
ls,5x5,0.4,neighbours,6.238681778899933e-07
ls,10x10,0.45,updateWall,2.002929433747524e-06
ls,10x10,0.45,neighbours,5.709581430359134e-07
ls,10x10,0.45,updateWall,1.8976999780708793e-06
ls,10x10,0.45,neighbours,5.389052343421749e-07
ls,10x10,0.45,updateWall,2.0038181294997535e-06
ls,10x10,0.45,neighbours,5.71287856496966e-07
ls,10x10,0.45,updateWall,2.0745663075811335e-06
ls,10x10,0.45,neighbours,5.621270268531032e-07
ls,10x10,0.45,updateWall,2.0012234789178227e-06
ls,10x10,0.45,neighbours,5.592332485861874e-07
ls,50x50,0.49,updateWall,1.994488529209532e-06
ls,50x50,0.49,neighbours,5.564558363693704e-07
ls,50x50,0.49,updateWall,2.0167385997558507e-06
ls,50x50,0.49,neighbours,5.617863603587013e-07
ls,50x50,0.49,updateWall,2.4353381430431337e-06
ls,50x50,0.49,neighbours,1.101940537468934e-06
ls,50x50,0.49,updateWall,2.0508825172054895e-06
ls,50x50,0.49,neighbours,5.769351530409633e-07
ls,50x50,0.49,updateWall,2.0070236619552966e-06
ls,50x50,0.49,neighbours,5.614741660026501e-07
ls,70x100,0.4212121212121212,updateWall,1.9836299096629747e-06
ls,70x100,0.4212121212121212,neighbours,5.919658836132804e-07
ls,70x100,0.4261183261183261,updateWall,2.118834662769463e-06
ls,70x100,0.4261183261183261,neighbours,6.039676087437561e-07
ls,70x100,0.42467532467532465,updateWall,1.950245932426401e-06
ls,70x100,0.42467532467532465,neighbours,5.523042702214492e-07
ls,70x100,0.4259018759018759,updateWall,2.1179374090165266e-06
ls,70x100,0.4259018759018759,neighbours,6.453028043131104e-07
ls,70x100,0.42373737373737375,updateWall,1.992479174860021e-06
ls,70x100,0.42373737373737375,neighbours,5.586477518412035e-07
